2011/5/6 08:46:00;8956;20;1
2011/5/6 08:46:00;8957;19;2
2011/5/6 08:46:00;8958;29;3
2011/5/6 08:46:00;8959;1;1
2011/5/6 08:46:00;8960;22;3
2011/5/6 08:46:00;8961;234;13
2011/5/6 08:46:00;8962;137;13
2011/5/6 08:46:00;8963;190;14
2011/5/6 08:46:00;8964;51;8
2011/5/6 08:46:00;8965;397;23
2011/5/6 08:46:00;8966;39;5
2011/5/6 08:46:00;8967;39;7
2011/5/6 08:46:00;8968;76;12
2011/5/6 08:46:00;8969;43;11
2011/5/6 08:46:00;8970;170;9
2011/5/6 08:46:00;8971;14;5
2011/5/6 08:46:00;8972;25;2
2011/5/6 08:46:00;8973;136;9
2011/5/6 08:46:00;8974;39;4
2011/5/6 08:46:00;8975;42;7
2011/5/6 08:46:00;8976;29;5
2011/5/6 08:46:00;8977;45;9
2011/5/6 08:46:00;8978;92;8
2011/5/6 08:46:00;8979;60;3
2011/5/6 08:46:00;8980;24;3
2011/5/6 08:46:00;8981;11;2
2011/5/6 08:46:00;8982;19;3
2011/5/6 08:46:00;8983;10;2
2011/5/6 08:46:00;8984;52;6
2011/5/6 08:46:00;8985;44;8
2011/5/6 08:46:00;8986;95;8
2011/5/6 08:46:00;8987;67;11
2011/5/6 08:46:00;8988;36;6
2011/5/6 08:46:00;8989;39;7
2011/5/6 08:46:00;8990;16;2
2011/5/6 08:47:00;8980;33;5
2011/5/6 08:47:00;8981;55;11
2011/5/6 08:47:00;8982;130;19
2011/5/6 08:47:00;8983;153;22
2011/5/6 08:47:00;8984;153;33
2011/5/6 08:47:00;8985;162;34
2011/5/6 08:47:00;8986;107;33
2011/5/6 08:47:00;8987;56;13
2011/5/6 08:47:00;8988;3;2
2011/5/6 08:48:00;8983;45;14
2011/5/6 08:48:00;8984;219;36
2011/5/6 08:48:00;8985;197;61
2011/5/6 08:48:00;8986;113;34
2011/5/6 08:48:00;8987;25;4
2011/5/6 08:49:00;8980;7;3
2011/5/6 08:49:00;8981;160;33
2011/5/6 08:49:00;8982;115;29
2011/5/6 08:49:00;8983;122;31
2011/5/6 08:49:00;8984;39;13
2011/5/6 08:49:00;8985;53;8
2011/5/6 08:49:00;8986;6;2
2011/5/6 08:50:00;8976;4;1
2011/5/6 08:50:00;8977;35;14
2011/5/6 08:50:00;8978;138;24
